校舎,教室名,OS,プリンタ,パソコン台数,校地,type
寧静館(N),N21~ N23,Windows8.1/ Linux(仮想OS),○,124台,今出川,情報教室
寧静館(N),N地下1~2,Windows8.1/ Linux(仮想OS),○,48台,今出川,情報教室
寧静館(N),"N地下3
(CALL教室)",Windows8.1/ Linux(仮想OS),○,56台,今出川,情報教室
良心館(RY),RY307~313,Windows8.1/ Linux(仮想OS),○,332台,今出川,情報教室
良心館(RY),"RY314、315
(CALL教室)",Windows8.1/ Linux(仮想OS),○,96台,今出川,情報教室
志高館(SK),"SK地1、9
(CALL教室)",Windows8.1/ Linux(仮想OS),○,96台,今出川,情報教室
弘風館(K),K21,Windows8.1/ Linux(仮想OS),○,62台,今出川,情報教室
臨光館(R),R303・304,Windows8.1/ Linux(仮想OS),○,70台,今出川,情報教室
寧静館(N),N1階PCコーナー,Windows8.1/ Linux(仮想OS),○,30台,今出川,PCコーナー
良心館(RY),"良心館ラーニングコモン
ズPCコーナー (2階)",Windows8.1,○,6台,今出川,PCコーナー
良心館(RY),"良心館ラーニングコモン
ズPCコーナー (3階)",Windows8.1/ Linux(仮想OS),○,62台,今出川,PCコーナー
志高館(SK),SK地下1階PCコーナー,Windows8.1/ Linux(仮想OS),○,34台,今出川,PCコーナー
臨光館(R),R1階PCコーナー,Windows8.1/ Linux(仮想OS),○,69台,今出川,PCコーナー
寒梅館(KMB),KMB1階PCコーナー,Windows8.1/ Linux(仮想OS),○,10台,今出川,PCコーナー
図書館,1階PCコーナー,Windows8.1/ Linux(仮想OS),○,56台,今出川,PCコーナー
図書館,JM201~202,Windows8.1/ Linux(仮想OS),○,120台,京田辺,情報教室
図書館,"JM203~206
(CALL教室)",Windows8.1/ Linux(仮想OS),○,208台,京田辺,情報教室
情報メディア館(JM),JM301~306,Windows8.1/ Linux(仮想OS),○,324台,京田辺,情報教室
情報メディア館(JM),JM402~406,Windows8.1/ Linux(仮想OS),○,252台,京田辺,情報教室
頌真館(TS),TS101・102・202,Windows8.1/ Linux(仮想OS),○,96台,京田辺,情報教室
情報メディア館(JM),JM1階PCコーナー,Windows8.1/ Linux(仮想OS),○,42台,京田辺,PCコーナー
恵道館(KD),KD101・102PCコーナー,Windows8.1/ Linux(仮想OS),○,80台,京田辺,PCコーナー
頌真館(TS),TS201,Windows8.1/ Linux(仮想OS),○,48台,京田辺,PCコーナー
磐上館(BJ),BJ1階PCコーナー,Windows8.1/ Linux(仮想OS),○,28台,京田辺,PCコーナー
ラーネッド記念図書館,2階PCコーナー,Windows8.1/ Linux(仮想OS),○,16台,京田辺,PCコーナー
ローム記念館,1階PCエリア,Windows8.1,×,20台,京田辺,PCコーナー
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
