地域,都道府県,就職先企業数,文科系学部・研究科男子,文科系学部・研究科女子,理工系学部・研究科,合計,Rating
北海道・東北,北海道,11,21,16,2,39,0.8
北海道・東北,青森県,3,0,3,0,3,0.1
北海道・東北,岩手県,1,1,0,0,1,0.0
北海道・東北,宮城県,6,10,2,0,12,0.2
北海道・東北,秋田県,1,0,1,0,1,0.0
北海道・東北,山形県,2,1,1,0,2,0.0
北海道・東北,福島県,3,1,2,0,3,0.1
関東,茨城県,4,2,0,2,4,0.1
関東,栃木県,4,2,3,1,6,0.1
関東,群馬県,5,3,2,1,6,0.1
関東,埼玉県,12,10,1,2,13,0.3
関東,千葉県,14,14,17,4,35,0.7
関東,東京都,"1,049","1,128",987,330,"2,445",47.2
関東,神奈川県,46,39,37,33,109,2.1
北陸,新潟県,4,2,3,0,5,0.1
北陸,富山県,14,12,7,5,24,0.5
北陸,石川県,13,14,6,0,20,0.4
北陸,福井県,12,6,4,6,16,0.3
中部,山梨県,1,1,0,0,1,0.0
中部,長野県,18,13,10,3,26,0.5
中部,岐阜県,17,10,9,2,21,0.4
中部,静岡県,28,23,18,9,50,1.0
中部,愛知県,111,101,55,81,237,4.6
中部,三重県,12,6,11,2,19,0.3
近畿,滋賀県,30,30,30,6,66,1.3
近畿,京都府,173,151,203,60,414,8.0
近畿,大阪府,471,419,436,210,"1,065",20.6
近畿,兵庫県,118,84,82,25,191,3.6
近畿,奈良県,23,22,22,3,47,0.9
近畿,和歌山県,12,9,6,0,15,0.3
中国,鳥取県,6,5,1,1,7,0.1
中国,島根県,1,5,2,0,7,0.1
中国,岡山県,16,7,11,4,22,0.4
中国,広島県,26,16,21,8,45,0.9
中国,山口県,12,13,9,2,24,0.5
四国,徳島県,5,3,5,0,8,0.1
四国,香川県,7,4,6,1,11,0.2
四国,愛媛県,9,7,6,2,15,0.3
四国,高知県,5,4,5,0,9,0.2
九州,福岡県,31,34,21,16,71,1.4
九州,佐賀県,3,3,3,0,6,0.1
九州,長崎県,2,1,1,1,3,0.1
九州,熊本県,10,5,6,1,12,0.2
九州,大分県,5,3,4,0,7,0.1
九州,宮崎県,4,1,3,0,4,0.1
九州,鹿児島県,2,1,1,0,2,0.0
九州,沖縄県,3,1,2,0,3,0.1
海外,外国,3,3,7,0,10,0.2
その他,その他,1,10,4,1,15,0.3
合計,合計,"2,369","2,261","2,092",824,"5,177",100.0
