企業・団体名,合計,文科系 男子,文科系 女子,理工系,
国家公務員（一般職）,55,35,19,1,
みずほフィナンシャルグループ,39,19,19,1,
パナソニック株式会社,39,12,6,21,
株式会社京都銀行,38,18,20,,
株式会社三菱東京ＵＦＪ銀行,35,10,25,,
野村證券株式会社,34,14,18,2,
住友生命保険相互会社,33,5,28,,
日本生命保険相互会社,31,9,21,1,
富士通株式会社,29,10,11,8,
株式会社三井住友銀行,29,15,14,,
ダイキン工業株式会社,28,2,7,19,
りそなグループ,28,12,15,1,
京都中央信用金庫,25,8,15,2,
損害保険ジャパン日本興亜株式会社,25,7,16,2,
株式会社ニトリ,25,15,9,1,
株式会社村田製作所,25,3,14,8,
三井住友海上火災保険株式会社,24,8,16,,
あいおいニッセイ同和損害保険株式会社,22,9,13,,
株式会社滋賀銀行,22,13,9,,
京都市,20,5,15,,
第一生命保険株式会社,20,10,10,,
株式会社日本政策金融公庫,19,8,11,,
三井住友信託銀行株式会社,18,5,12,1,
東京海上日動火災保険株式会社,18,2,15,1,
株式会社大和証券グループ本社,18,7,10,1,
アクセンチュア株式会社,17,12,2,3,
株式会社デンソー,17,3,1,13,
三菱電機株式会社,17,9,2,6,
全日本空輸株式会社,16,1,15,,
大和ハウス工業株式会社,16,10,6,,
日本郵便株式会社,16,8,7,1,
株式会社キーエンス,15,10,2,3,
国税専門官,15,8,7,,
株式会社池田泉州銀行,15,9,4,2,
株式会社南都銀行,15,6,8,1,
三菱ＵＦＪモルガン・スタンレー証券株式会社,15,7,7,1,
オリンパス株式会社,14,7,1,6,
トヨタ自動車株式会社,14,2,2,10,
日産自動車株式会社,14,,2,12,
西日本旅客鉄道株式会社,14,6,4,4,
西日本電信電話株式会社,14,5,3,6,
関西電力株式会社,13,5,2,6,
裁判所職員（一般職・裁判所事務官）,13,4,9,,
ＳＭＢＣ日興証券株式会社,13,7,5,1,
日本航空株式会社,13,2,9,2,
株式会社日立製作所,13,2,1,10,
三菱ＵＦＪ信託銀行株式会社,13,7,6,,
パーソルキャリア株式会社,12,5,7,,
本田技研工業株式会社,12,2,,10,
楽天株式会社,12,6,6,,
株式会社ワークスアプリケーションズ,12,7,1,4,
京都府,11,3,8,,
神戸市,11,5,6,,
株式会社福岡銀行,11,9,2,,
明治安田生命保険相互会社,11,4,7,,
株式会社関西アーバン銀行,10,4,6,,
積水化学工業株式会社,10,3,1,6,
株式会社ＬＩＸＩＬ,10,3,1,6,
株式会社豊田自動織機,10,2,1,7,
日本電気株式会社,10,7,,3,
株式会社野村総合研究所,10,3,2,5,
株式会社広島銀行,10,3,7,,
株式会社船井総合研究所,10,8,1,1,
株式会社マキタ,10,9,,1,
三菱ＵＦＪニコス株式会社,10,3,7,,
三井不動産リアルティ株式会社,10,6,4,,
三菱自動車工業株式会社,10,3,1,6,
イオンリテール株式会社,9,6,2,1,
京セラ株式会社,9,4,2,3,
株式会社近畿大阪銀行,9,5,4,,
株式会社ケイ・オプティコム,9,2,3,4,
スズキ株式会社,9,6,1,2,
タカラベルモント株式会社,9,2,2,5,
ＴＯＴＯ株式会社,9,3,2,4,
日本通運株式会社,9,7,2,,
日本電産株式会社,9,3,4,2,
株式会社マイナビ,9,4,5,,
株式会社みなと銀行,9,5,4,,
みずほ証券株式会社,9,6,2,1,
株式会社メイテック,9,,,9,
株式会社山口フィナンシャルグループ,9,6,3,,
レイス株式会社,9,3,6,,
アサヒビール株式会社,8,7,1,,
旭化成ホームズ株式会社,8,6,2,,
株式会社朝日新聞社,8,3,5,,
イオンモール株式会社,8,3,5,,
パーソルプロセス＆テクノロジー株式会社,8,4,3,1,
株式会社エヌ・ティ・ティ・データ関西,8,4,2,2,
川崎重工業株式会社,8,1,1,6,
株式会社かんぽ生命保険,8,4,4,,
積水ハウス株式会社,8,4,3,1,
ソフトバンク株式会社,8,3,2,3,
中部電力株式会社,8,3,1,4,
ＴＩＳ株式会社,8,,6,2,
株式会社西日本シティ銀行,8,5,3,,
日本放送協会,8,2,4,2,
日本年金機構,8,4,4,,
株式会社堀場製作所,8,4,1,3,
三井住友カード株式会社,8,1,5,2,
ローム株式会社,8,3,4,1,
伊藤忠テクノソリューションズ株式会社,7,,5,2,
株式会社エヌ・ティ・ティ・データ,7,1,1,5,
株式会社ＮＴＴドコモ,7,2,2,3,
関西エアポート株式会社,7,1,5,1,
京都信用金庫,7,2,5,,
京セラコミュニケーションシステム株式会社,7,2,2,3,
ＫＤＤＩ株式会社,7,4,1,2,
コクヨ株式会社,7,5,,2,
株式会社山陰合同銀行,7,5,2,,
シャープ株式会社,7,1,1,5,
ＳＣＳＫ株式会社,7,1,3,3,
住友不動産販売株式会社,7,3,4,,
住友林業株式会社,7,5,1,1,
ソニー株式会社,7,1,,6,
株式会社ＪＴＢ西日本,7,5,2,,
ダイハツ工業株式会社,7,,1,6,
日本光電工業株式会社,7,3,,4,
防衛省　自衛官（自衛隊幹部候補生）,7,6,1,,
ヤフー株式会社,7,3,2,2,
株式会社リクルートキャリア,7,6,1,,
株式会社ワコール,7,3,2,2,
アメリカンファミリー生命保険会社,6,1,5,,
アイシン精機株式会社,6,2,1,3,
株式会社伊予銀行,6,3,3,,
株式会社インテック,6,3,1,2,
ＮＴＴファイナンス株式会社,6,4,2,,
大塚製薬株式会社,6,5,1,,
大阪市,6,1,5,,
大阪府,6,2,4,,
京都府　警察（警察官・警察事務　等）,6,4,2,,
株式会社コーセー,6,1,4,1,
財務専門官,6,3,3,,
サントリーホールディングス株式会社,6,3,2,1,
スミセイ情報システム株式会社,6,1,4,1,
Ｓｋｙ株式会社,6,1,3,2,
株式会社ＧＳユアサ,6,4,2,,
テルモ株式会社,6,4,1,1,
豊田通商株式会社,6,5,1,,
豊田合成株式会社,6,2,1,3,
同志社大学,6,3,2,1,
奈良県,6,2,4,,
株式会社博報堂,6,3,1,2,
株式会社日立システムズ,6,2,1,3,
東日本旅客鉄道株式会社,6,4,1,1,
富士ソフト株式会社,6,3,2,1,
村田機械株式会社,6,1,2,3,
山崎製パン株式会社,6,4,1,1,
株式会社ゆうちょ銀行,6,1,5,,
レバレジーズキャリア株式会社,6,2,4,,
旭化成グループ,5,2,,3,
尼崎信用金庫,5,2,3,,
アイリスオーヤマ株式会社,5,5,,,
アシックスジャパン株式会社,5,3,2,,
岩谷産業株式会社,5,2,3,,
株式会社一条工務店,5,4,,1,
ＡＮＡセールス株式会社,5,3,1,1,
株式会社オリエンタルランド,5,,4,1,
株式会社オリエントコーポレーション,5,4,1,,
オリックス株式会社,5,1,4,,
オリックス生命保険株式会社,5,3,2,,
オムロン株式会社,5,5,,,
大阪府教員,5,2,2,1,
株式会社キャリアデザインセンター,5,3,2,,
キリン株式会社,5,2,3,,
株式会社クボタ,5,2,,3,
株式会社クスリのアオキ,5,3,2,,
大和ライフネクスト株式会社,5,3,2,,
